video_id,title,published_at,views,likes,comments,tags,channel_id,duration_seconds
KhORHy58Q-s,Connecting Git to GitHub,2025-09-30T12:00:40Z,156,19,2,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,186
Am3TErrQpNs,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-25T14:10:51Z,2540,110,3,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,4109
_uKv_vxu398,Branching and Merging in Git,2025-09-23T12:01:14Z,1494,47,2,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,361
36Uw2DZGIvQ,Communication is very important,2025-09-19T12:25:58Z,3957,149,10,[],UC7cs8q-gJRlGwj4A8OmCmXg,44
--UrhIxxKFU,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-18T14:14:32Z,2567,130,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,4027
zouVqtlHRHw,Reverting Back to a Previous Commit in Git,2025-09-16T12:01:54Z,1611,47,2,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,431
ggPljOKc_C4,Why you’re not getting Interviews,2025-09-12T11:41:07Z,6148,213,4,[],UC7cs8q-gJRlGwj4A8OmCmXg,51
XBhhfz0CUJY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-12T06:55:47Z,2990,114,10,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3941
SwtL-6w-B5c,Basics of Git and using VS Code with Git,2025-09-09T12:00:50Z,3057,117,2,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,964
6KGQpUg-y_8,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-04T14:07:30Z,2839,132,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3796
wDRoduig_98,Installing and Setting up Git and GitHub,2025-09-02T12:01:51Z,5806,178,10,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,434
Rcpidz-jnZQ,SQL is King,2025-08-27T11:05:28Z,12715,535,19,[],UC7cs8q-gJRlGwj4A8OmCmXg,45
QzvA7r-WndM,What is Git and GitHub?,2025-08-26T12:00:54Z,10874,422,17,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,512
yhlqKsYpzgE,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-21T14:09:29Z,3283,129,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3673
kk5zEOQzTmQ,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19T12:01:22Z,3411,94,13,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,1264
TP2OJuZhbIQ,Things I Learned as a Data Analyst p1,2025-08-15T11:46:04Z,9528,336,14,[],UC7cs8q-gJRlGwj4A8OmCmXg,38
Mi8st3hyMH8,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14T14:18:24Z,2998,113,8,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3967
vAKs1-EEJ38,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12T12:01:49Z,2149,67,3,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,488
-Z2KjOUcvTA,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07T14:31:54Z,3186,114,19,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3944
v5jasYkmwZI,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05T12:01:44Z,1773,44,6,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,506
kqhJff8ruKw,Traditional applying to jobs is dead.,2025-08-01T12:53:29Z,17918,722,29,[],UC7cs8q-gJRlGwj4A8OmCmXg,58
QR8kxf925IQ,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31T14:45:09Z,3457,151,13,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,4211
klKWFqsqFeI,Handling Missing Data in R | R for Data Analytics Series,2025-07-29T12:01:31Z,2087,59,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,790
XIWe4vCtHcY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24T14:06:55Z,3828,141,6,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,3848
PqCp1f0RIaU,Don’t jump into Power BI first,2025-07-23T12:47:30Z,107904,3116,49,[],UC7cs8q-gJRlGwj4A8OmCmXg,48
0B-lz9VQkYs,Grouping and Aggregating Data in R | R for Data Analytics Series,2025-07-22T12:00:02Z,2199,43,5,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,497
_YG8b1g-QJA,Getting Buy-in is a very difficult skill to learn,2025-07-18T12:11:49Z,6645,207,5,[],UC7cs8q-gJRlGwj4A8OmCmXg,51
UT_hTGge_wc,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17T14:41:40Z,4595,201,14,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",UC7cs8q-gJRlGwj4A8OmCmXg,4969
